hour,port_name,direction,vehicle_type,traveler_type,volume,open_lanes,wait_time,source_Volume,source_open_lanes,source_wait_time,wait_time_caltrans,wait_time_survey
1,San Ysidro,Northbound,Passenger,General,215.320747,4,72,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG           ,,
2,San Ysidro,Northbound,Passenger,General,222.8301987,4,66,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
3,San Ysidro,Northbound,Passenger,General,300.0912365,4,57,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,75,
4,San Ysidro,Northbound,Passenger,General,335.001638,5,57,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,135,
5,San Ysidro,Northbound,Passenger,General,611.230879,9,57,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
6,San Ysidro,Northbound,Passenger,General,611.2395972,9,53,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
7,San Ysidro,Northbound,Passenger,General,556.7849807,9,55,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,103,
8,San Ysidro,Northbound,Passenger,General,543.8972923,9,57,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,89,
9,San Ysidro,Northbound,Passenger,General,545.0620248,10,59,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,40,
10,San Ysidro,Northbound,Passenger,General,535.0301454,8,57,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,180,
11,San Ysidro,Northbound,Passenger,General,516.7596372,9,63,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,180,
12,San Ysidro,Northbound,Passenger,General,504.7837802,9,64,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,353,
13,San Ysidro,Northbound,Passenger,General,481.5869014,9,67,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
14,San Ysidro,Northbound,Passenger,General,476.0710951,9,66,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
15,San Ysidro,Northbound,Passenger,General,449.8578098,8,66,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
16,San Ysidro,Northbound,Passenger,General,428.6885421,8,68,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,105,
17,San Ysidro,Northbound,Passenger,General,433.5448846,9,68,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
18,San Ysidro,Northbound,Passenger,General,406.7309591,9,69,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
19,San Ysidro,Northbound,Passenger,General,383.4811258,8,67,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,120,
20,San Ysidro,Northbound,Passenger,General,365.3537415,9,66,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
21,San Ysidro,Northbound,Passenger,General,346.5222089,9,66,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,105,
22,San Ysidro,Northbound,Passenger,General,292.1643324,8,69,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
23,San Ysidro,Northbound,Passenger,General,224.7270658,5,71,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
24,San Ysidro,Northbound,Passenger,General,211.9346519,5,70,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
1,San Ysidro,Northbound,Passenger,Ready,393.6537708,10,50,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,145,
2,San Ysidro,Northbound,Passenger,Ready,462.6287848,9,45,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,100,
3,San Ysidro,Northbound,Passenger,Ready,668.0927037,10,42,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,80,
4,San Ysidro,Northbound,Passenger,Ready,730.9066613,10,40,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,120,
5,San Ysidro,Northbound,Passenger,Ready,862.9701107,12,40,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,135,
6,San Ysidro,Northbound,Passenger,Ready,680.9637322,11,41,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,95,
7,San Ysidro,Northbound,Passenger,Ready,549.2671735,9,46,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,113,
8,San Ysidro,Northbound,Passenger,Ready,538.553288,9,44,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,75,
9,San Ysidro,Northbound,Passenger,Ready,564.0094705,10,45,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,117,
10,San Ysidro,Northbound,Passenger,Ready,602.9159664,9,44,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,75,
11,San Ysidro,Northbound,Passenger,Ready,575.075897,10,48,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,79,
12,San Ysidro,Northbound,Passenger,Ready,565.9966653,9,49,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,60,
13,San Ysidro,Northbound,Passenger,Ready,553.6744031,10,51,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,86,
14,San Ysidro,Northbound,Passenger,Ready,563.7493664,10,52,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,70,
15,San Ysidro,Northbound,Passenger,Ready,575.5002001,10,51,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,34,
16,San Ysidro,Northbound,Passenger,Ready,604.5220755,12,51,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,110,
17,San Ysidro,Northbound,Passenger,Ready,631.5738295,12,53,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,47,
18,San Ysidro,Northbound,Passenger,Ready,611.8662132,12,52,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,65,
19,San Ysidro,Northbound,Passenger,Ready,584.9719888,11,50,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,35,
20,San Ysidro,Northbound,Passenger,Ready,566.5993064,12,49,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,90,
21,San Ysidro,Northbound,Passenger,Ready,609.6585301,13,52,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,85,
22,San Ysidro,Northbound,Passenger,Ready,602.5171402,12,52,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,30,
23,San Ysidro,Northbound,Passenger,Ready,515.0397326,10,50,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
