hour,port_name,direction,vehicle_type,traveler_type,volume,open_lanes,wait_time,source_Volume,source_open_lanes,source_wait_time,wait_time_caltrans,wait_time_survey
24,San Ysidro,Northbound,Passenger,Ready,480.8188495,11,54,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,53,
1,San Ysidro,Northbound,Passenger,SENTRI,94.86862745,2,1,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
2,San Ysidro,Northbound,Passenger,SENTRI,53.07429639,2,1,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,1,
3,San Ysidro,Northbound,Passenger,SENTRI,77.51473923,2,8,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,8,
4,San Ysidro,Northbound,Passenger,SENTRI,225.4524583,2,12,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,12,
5,San Ysidro,Northbound,Passenger,SENTRI,549.9080405,4,18,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,18,
6,San Ysidro,Northbound,Passenger,SENTRI,958.9138322,7,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,30,
7,San Ysidro,Northbound,Passenger,SENTRI,1006.608777,8,19,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,39,19
8,San Ysidro,Northbound,Passenger,SENTRI,1050.632253,8,25,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,25,23
9,San Ysidro,Northbound,Passenger,SENTRI,1034.645191,8,27,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,36,12
10,San Ysidro,Northbound,Passenger,SENTRI,889.1868747,8,27,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,12,20
11,San Ysidro,Northbound,Passenger,SENTRI,881.185941,8,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,27,10
12,San Ysidro,Northbound,Passenger,SENTRI,854.0221422,8,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,40,9
13,San Ysidro,Northbound,Passenger,SENTRI,856.9479792,8,31,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,35,11
14,San Ysidro,Northbound,Passenger,SENTRI,847.5059357,8,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,20,
15,San Ysidro,Northbound,Passenger,SENTRI,792.056556,8,31,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,7,
16,San Ysidro,Northbound,Passenger,SENTRI,694.4533814,7,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,16,
17,San Ysidro,Northbound,Passenger,SENTRI,672.7040149,7,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,24,
18,San Ysidro,Northbound,Passenger,SENTRI,699.7353608,6,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,45,
19,San Ysidro,Northbound,Passenger,SENTRI,720.1309857,7,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,30,
20,San Ysidro,Northbound,Passenger,SENTRI,695.3222622,7,30,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
21,San Ysidro,Northbound,Passenger,SENTRI,583.9055622,6,28,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,28,
22,San Ysidro,Northbound,Passenger,SENTRI,461.0564226,5,10,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,10,
23,San Ysidro,Northbound,Passenger,SENTRI,351.9365079,4,10,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
24,San Ysidro,Northbound,Passenger,SENTRI,246.758624,3,10,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,330,
1,San Ysidro,Southbound,Passenger,_All_,738.4685457,,,,,,,
2,San Ysidro,Southbound,Passenger,_All_,560.1352123,,,,,,,
3,San Ysidro,Southbound,Passenger,_All_,486.1900217,,,,,,,
4,San Ysidro,Southbound,Passenger,_All_,437.4348528,,,,,,,
5,San Ysidro,Southbound,Passenger,_All_,429.6167753,,,,,,,
6,San Ysidro,Southbound,Passenger,_All_,499.2335505,,,,,,,
7,San Ysidro,Southbound,Passenger,_All_,547.1612744,,,,,,,
8,San Ysidro,Southbound,Passenger,_All_,987.3333333,,,,,,,
9,San Ysidro,Southbound,Passenger,_All_,1360,,,,,,,
10,San Ysidro,Southbound,Passenger,_All_,2133.177826,,,,,,,
11,San Ysidro,Southbound,Passenger,_All_,1705.078721,,,,,,,
12,San Ysidro,Southbound,Passenger,_All_,1459.861044,,,,,,,
13,San Ysidro,Southbound,Passenger,_All_,1590,,,,,,,
14,San Ysidro,Southbound,Passenger,_All_,2049.666667,,,,,,,
15,San Ysidro,Southbound,Passenger,_All_,2855.348291,,,,,,,
16,San Ysidro,Southbound,Passenger,_All_,3963.93756,,,,,,,
17,San Ysidro,Southbound,Passenger,_All_,3846.666667,,,,,,,
18,San Ysidro,Southbound,Passenger,_All_,3444,,,,,,,
19,San Ysidro,Southbound,Passenger,_All_,3460.812509,,,,,,,
20,San Ysidro,Southbound,Passenger,_All_,3609.816986,,,,,,,
21,San Ysidro,Southbound,Passenger,_All_,2619.860399,,,,,,,
22,San Ysidro,Southbound,Passenger,_All_,2092.489486,,,,,,,
23,San Ysidro,Southbound,Passenger,_All_,1623.466219,,,,,,,
24,San Ysidro,Southbound,Passenger,_All_,1068.342728,,,,,,,
1,Otay Mesa,Northbound,Passenger,General,98.00326333,2,68,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
2,Otay Mesa,Northbound,Passenger,General,105.7192144,2,63,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,110,
3,Otay Mesa,Northbound,Passenger,General,149.0515711,2,49,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
4,Otay Mesa,Northbound,Passenger,General,159.7309747,2,55,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,148,
5,Otay Mesa,Northbound,Passenger,General,314.1820995,5,58,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,253,
6,Otay Mesa,Northbound,Passenger,General,254.9562092,5,53,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
7,Otay Mesa,Northbound,Passenger,General,201.0953715,4,59,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,124
8,Otay Mesa,Northbound,Passenger,General,174.5444845,4,62,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,95
9,Otay Mesa,Northbound,Passenger,General,175.423236,4,59,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,63
10,Otay Mesa,Northbound,Passenger,General,171.027611,4,59,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,60
11,Otay Mesa,Northbound,Passenger,General,185.0945712,4,64,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,80,60
12,Otay Mesa,Northbound,Passenger,General,180.228358,4,65,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,38
13,Otay Mesa,Northbound,Passenger,General,170.1811391,4,60,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,205,66
14,Otay Mesa,Northbound,Passenger,General,171.5384821,3,63,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,95,
15,Otay Mesa,Northbound,Passenger,General,174.5682273,4,64,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,25,
16,Otay Mesa,Northbound,Passenger,General,167.637455,4,63,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
17,Otay Mesa,Northbound,Passenger,General,171.2597039,4,63,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,43,
18,Otay Mesa,Northbound,Passenger,General,164.745765,4,67,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
19,Otay Mesa,Northbound,Passenger,General,163.5862345,3,66,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
20,Otay Mesa,Northbound,Passenger,General,161.8719488,3,61,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
21,Otay Mesa,Northbound,Passenger,General,172.9998666,4,65,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
22,Otay Mesa,Northbound,Passenger,General,172.7589703,4,65,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
23,Otay Mesa,Northbound,Passenger,General,141.1967681,3,70,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
24,Otay Mesa,Northbound,Passenger,General,115.6078998,2,63,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
1,Otay Mesa,Northbound,Passenger,Ready,176.7759184,4,48,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
2,Otay Mesa,Northbound,Passenger,Ready,203.5403148,4,45,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,70,
3,Otay Mesa,Northbound,Passenger,Ready,313.4419661,3,36,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,120,
4,Otay Mesa,Northbound,Passenger,Ready,381.3337975,4,32,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,138,
5,Otay Mesa,Northbound,Passenger,Ready,732.5729092,7,37,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,168,
6,Otay Mesa,Northbound,Passenger,Ready,719.3554515,7,39,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,130,
7,Otay Mesa,Northbound,Passenger,Ready,708.6371882,8,37,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,62,83
8,Otay Mesa,Northbound,Passenger,Ready,685.8635454,8,38,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,92,73
9,Otay Mesa,Northbound,Passenger,Ready,688.1384554,8,39,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,90,72
10,Otay Mesa,Northbound,Passenger,Ready,690.8648793,8,42,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,88,61
11,Otay Mesa,Northbound,Passenger,Ready,655.1696679,8,41,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,90,56
12,Otay Mesa,Northbound,Passenger,Ready,658.6684007,8,43,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,55,55
13,Otay Mesa,Northbound,Passenger,Ready,649.7823129,8,42,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,100,55
14,Otay Mesa,Northbound,Passenger,Ready,641.6026411,8,44,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,102,
15,Otay Mesa,Northbound,Passenger,Ready,606.7741763,8,49,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,55,
16,Otay Mesa,Northbound,Passenger,Ready,585.609177,8,47,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,74,
17,Otay Mesa,Northbound,Passenger,Ready,571.8321995,8,49,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,72,
18,Otay Mesa,Northbound,Passenger,Ready,559.5022009,9,47,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,70,
19,Otay Mesa,Northbound,Passenger,Ready,539.6565293,8,45,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,41,
20,Otay Mesa,Northbound,Passenger,Ready,534.7677738,8,42,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
21,Otay Mesa,Northbound,Passenger,Ready,514.3262638,8,44,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
22,Otay Mesa,Northbound,Passenger,Ready,453.314259,8,45,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
23,Otay Mesa,Northbound,Passenger,Ready,284.3353685,4,45,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
24,Otay Mesa,Northbound,Passenger,Ready,234.0204168,5,47,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,243,
1,Otay Mesa,Northbound,Passenger,SENTRI,1.133333333,0,0,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
2,Otay Mesa,Northbound,Passenger,SENTRI,0.333333333,0,0,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
3,Otay Mesa,Northbound,Passenger,SENTRI,0.000001,0,0,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
4,Otay Mesa,Northbound,Passenger,SENTRI,0.666666667,0,0,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
5,Otay Mesa,Northbound,Passenger,SENTRI,113.9031987,2,22,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,22,
6,Otay Mesa,Northbound,Passenger,SENTRI,288.2524843,2,15,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,15,
7,Otay Mesa,Northbound,Passenger,SENTRI,364.0430839,3,24,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,45,19
8,Otay Mesa,Northbound,Passenger,SENTRI,427.6890756,3,24,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,18,23
9,Otay Mesa,Northbound,Passenger,SENTRI,378.9927971,3,23,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,10,12
10,Otay Mesa,Northbound,Passenger,SENTRI,310.1569961,2,24,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,21,20
11,Otay Mesa,Northbound,Passenger,SENTRI,278.3478725,2,25,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,10
12,Otay Mesa,Northbound,Passenger,SENTRI,264.3953581,2,27,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,28,9
13,Otay Mesa,Northbound,Passenger,SENTRI,280.0053355,2,26,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,25,11
14,Otay Mesa,Northbound,Passenger,SENTRI,272.3388022,2,27,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
15,Otay Mesa,Northbound,Passenger,SENTRI,271.3854875,2,26,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,15,
16,Otay Mesa,Northbound,Passenger,SENTRI,253.4793918,2,24,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,25,
17,Otay Mesa,Northbound,Passenger,SENTRI,261.1930105,2,23,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
18,Otay Mesa,Northbound,Passenger,SENTRI,278.1277844,2,22,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,15,
19,Otay Mesa,Northbound,Passenger,SENTRI,290.3568094,2,23,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,300,
20,Otay Mesa,Northbound,Passenger,SENTRI,233.9098306,2,26,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,0,
21,Otay Mesa,Northbound,Passenger,SENTRI,163.5271442,2,29,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
22,Otay Mesa,Northbound,Passenger,SENTRI,131.4916633,2,31,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
23,Otay Mesa,Northbound,Passenger,SENTRI,62.68288421,1,40,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
24,Otay Mesa,Northbound,Passenger,SENTRI,24.82583559,1,57,,CBP_data_TueWedThu,CBP_data_TueWedThu summarized by SANDAG,,
1,Otay Mesa,Southbound,Passenger,_All_,186.0630129,,,,,,,
2,Otay Mesa,Southbound,Passenger,_All_,123.7426359,,,,,,,
3,Otay Mesa,Southbound,Passenger,_All_,88.12602571,,,,,,,
4,Otay Mesa,Southbound,Passenger,_All_,100.9817309,,,,,,,
5,Otay Mesa,Southbound,Passenger,_All_,153.9634619,,,,,,,
6,Otay Mesa,Southbound,Passenger,_All_,421.4274884,,,,,,,
7,Otay Mesa,Southbound,Passenger,_All_,529.4839761,,,,,,,
8,Otay Mesa,Southbound,Passenger,_All_,498,,,,,,,
9,Otay Mesa,Southbound,Passenger,_All_,513,,,,,,,
10,Otay Mesa,Southbound,Passenger,_All_,543.281309,,,,,,,
11,Otay Mesa,Southbound,Passenger,_All_,627.5875278,,,,,,,
12,Otay Mesa,Southbound,Passenger,_All_,615.5509897,,,,,,,
13,Otay Mesa,Southbound,Passenger,_All_,702,,,,,,,
14,Otay Mesa,Southbound,Passenger,_All_,824,,,,,,,
15,Otay Mesa,Southbound,Passenger,_All_,1066.952493,,,,,,,
16,Otay Mesa,Southbound,Passenger,_All_,1649.490725,,,,,,,
17,Otay Mesa,Southbound,Passenger,_All_,1744,,,,,,,
18,Otay Mesa,Southbound,Passenger,_All_,1729.666667,,,,,,,
19,Otay Mesa,Southbound,Passenger,_All_,1488.038381,,,,,,,
20,Otay Mesa,Southbound,Passenger,_All_,1189.145736,,,,,,,
21,Otay Mesa,Southbound,Passenger,_All_,874.9303117,,,,,,,
22,Otay Mesa,Southbound,Passenger,_All_,666.3809755,,,,,,,
23,Otay Mesa,Southbound,Passenger,_All_,467.2638007,,,,,,,
24,Otay Mesa,Southbound,Passenger,_All_,280.6301285,,,,,,,
1,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
2,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
3,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
4,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
5,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
6,Otay Mesa,Northbound,Commercial,_All_,127,,,,,,,
7,Otay Mesa,Northbound,Commercial,_All_,175,,,,,,,
8,Otay Mesa,Northbound,Commercial,_All_,220,,,,,,,
9,Otay Mesa,Northbound,Commercial,_All_,186,,,,,,,
10,Otay Mesa,Northbound,Commercial,_All_,216,,,,,,,
11,Otay Mesa,Northbound,Commercial,_All_,196,,,,,,,
12,Otay Mesa,Northbound,Commercial,_All_,282,,,,,,,
13,Otay Mesa,Northbound,Commercial,_All_,232,,,,,,,
14,Otay Mesa,Northbound,Commercial,_All_,275,,,,,,,
15,Otay Mesa,Northbound,Commercial,_All_,265,,,,,,,
16,Otay Mesa,Northbound,Commercial,_All_,379,,,,,,,
17,Otay Mesa,Northbound,Commercial,_All_,279,,,,,,,
18,Otay Mesa,Northbound,Commercial,_All_,234,,,,,,,
19,Otay Mesa,Northbound,Commercial,_All_,200,,,,,,,
20,Otay Mesa,Northbound,Commercial,_All_,222,,,,,,,
21,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
22,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
23,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
24,Otay Mesa,Northbound,Commercial,_All_,0,,,,,,,
1,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
2,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
3,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
4,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
5,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
6,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
7,Otay Mesa,Southbound,Commercial,_All_,88,,,,,,,
8,Otay Mesa,Southbound,Commercial,_All_,51,,,,,,,
9,Otay Mesa,Southbound,Commercial,_All_,158,,,,,,,
10,Otay Mesa,Southbound,Commercial,_All_,218,,,,,,,
11,Otay Mesa,Southbound,Commercial,_All_,252,,,,,,,
12,Otay Mesa,Southbound,Commercial,_All_,314,,,,,,,
13,Otay Mesa,Southbound,Commercial,_All_,306,,,,,,,
14,Otay Mesa,Southbound,Commercial,_All_,395,,,,,,,
15,Otay Mesa,Southbound,Commercial,_All_,376,,,,,,,
16,Otay Mesa,Southbound,Commercial,_All_,327,,,,,,,
17,Otay Mesa,Southbound,Commercial,_All_,349,,,,,,,
18,Otay Mesa,Southbound,Commercial,_All_,326,,,,,,,
19,Otay Mesa,Southbound,Commercial,_All_,342,,,,,,,
20,Otay Mesa,Southbound,Commercial,_All_,354,,,,,,,
21,Otay Mesa,Southbound,Commercial,_All_,31,,,,,,,
22,Otay Mesa,Southbound,Commercial,_All_,18,,,,,,,
23,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
24,Otay Mesa,Southbound,Commercial,_All_,0,,,,,,,
