TIME,SY_GP_MAX,SY_GP_OPEN,SY_GP_VEH,SY_GP_STL,SY_GP_STV,SY_RE_MAX,SY_RE_OPEN,SY_RE_VEH,SY_RE_STL,SY_RE_STV,SY_SE_MAX,SY_SE_OPEN,SY_SE_VEH,SY_SE_STL,SY_SE_STV,SY_GP_RE_MAX,SY_SB_MAX,SY_SB_OPEN,SY_SB_VEH,SY_SB_STL,SY_SB_STV,OM_GP_MAX,OM_GP_OPEN,OM_GP_VEH,OM_GP_STL,OM_GP_STV,OM_RE_MAX,OM_RE_OPEN,OM_RE_VEH,OM_RE_STL,OM_RE_STV,OM_SE_MAX,OM_SE_OPEN,OM_SE_VEH,OM_SE_STL,OM_SE_STV,OM_GP_RE_MAX,OM_SB_MAX,OM_SB_OPEN,OM_SB_VEH,OM_SB_STL,OM_SB_STV,OMC_GP_MAX,OMC_GP_OPEN,OMC_GP_VEH,OMC_GP_STL,OMC_GP_STV,OMC_SP_MAX,OMC_SP_OPEN,OMC_SP_VEH,OMC_SP_STL,OMC_SP_STV,OMC_SB_MAX,OMC_SB_OPEN,OMC_SB_VEH,OMC_SB_STL,OMC_SB_STV
1,33,5,30,5,42,33,10,30,10,42,33,2,80,0,100,33,5,5,510,0,615,13,2,48,0,15,13,4,80,0,20,13,0,125,0,145,13,2,1,500,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
2,33,5,30,5,42,33,9,30,9,42,33,2,80,0,100,33,5,5,510,0,615,13,2,48,0,55,13,4,80,0,100,13,0,125,0,145,13,2,1,500,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
3,33,5,30,5,42,33,9,40,9,55,33,2,30,0,100,33,5,5,510,0,615,13,2,48,0,76,13,4,80,0,125,13,0,125,0,145,13,2,1,500,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
4,33,5,30,5,42,33,9,43,9,60,33,2,100,0,100,33,5,5,768,0,615,13,2,48,0,76,13,4,80,0,125,13,0,125,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
5,33,8,40,8,56,33,8,62,8,87,33,4,100,0,145,33,5,5,768,0,615,13,4,48,0,76,13,6,93,0,130,13,2,50,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
6,33,8,52,8,73,33,8,63,8,88,33,7,125,0,145,33,5,5,768,0,615,13,4,52,0,76,13,6,117,0,130,13,2,120,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
7,33,8,52,8,73,33,8,56,8,79,33,8,125,0,145,33,5,5,768,0,615,13,4,52,0,76,13,6,117,0,130,13,3,120,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
8,33,8,52,8,73,33,8,52,8,73,33,8,120,0,145,33,5,5,768,0,615,13,3,60,0,76,13,7,100,0,130,13,3,120,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
9,33,8,52,8,73,33,8,54,8,75,33,8,120,0,145,33,5,5,768,0,615,13,3,60,0,76,13,7,100,0,125,13,3,145,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,35,0,50
10,33,8,45,8,65,33,8,56,8,79,33,8,120,0,145,33,5,5,768,0,615,13,3,60,0,76,13,7,100,0,125,13,2,150,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,28,0,28,5,4,50,0,50
11,33,8,45,8,65,33,8,50,8,70,33,8,110,0,145,33,5,5,768,0,615,13,3,60,0,76,13,7,95,0,100,13,2,150,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,28,0,28,5,4,65,0,50
12,33,8,45,8,65,33,8,50,8,70,33,8,110,0,125,33,5,5,768,0,615,13,3,60,0,76,13,7,95,0,100,13,2,150,0,145,13,2,1,768,0,615,13,10,23,0,23,13,3,32,0,32,5,4,75,0,50
13,33,8,40,8,60,33,8,52,8,73,33,8,100,0,145,33,5,5,768,0,615,13,3,67,0,76,13,7,95,0,100,13,2,150,0,145,13,2,1,768,0,615,13,10,28,0,28,13,3,32,0,32,5,4,75,0,50
14,33,8,40,8,60,33,8,52,8,73,33,8,100,0,145,33,5,5,768,0,615,13,3,67,0,76,13,7,95,0,100,13,2,150,0,145,13,2,1,768,0,615,13,10,28,0,28,13,3,32,0,32,5,4,100,0,50
15,33,8,40,8,60,33,8,52,8,73,33,8,100,0,145,33,5,5,800,0,615,13,3,67,0,76,13,7,95,0,100,13,2,150,0,145,13,2,2,800,0,615,13,10,28,0,28,13,3,32,0,32,5,4,100,0,50
16,33,8,40,8,55,33,8,52,8,73,33,7,115,0,145,33,5,5,800,0,615,13,3,67,0,76,13,7,95,0,100,13,2,145,0,145,13,2,2,800,0,615,13,10,23,0,23,13,3,28,0,28,5,4,100,0,50
17,33,8,40,8,55,33,8,52,8,73,33,7,115,0,145,33,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,145,0,145,13,2,2,800,0,615,13,10,23,0,23,13,3,28,0,28,5,4,89,0,50
18,33,8,36,8,51,33,8,49,8,69,33,6,115,0,145,33,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,145,0,145,13,2,2,800,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
19,33,8,40,8,55,33,8,49,8,69,33,7,112,0,145,33,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,120,0,145,13,2,2,800,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
20,33,8,40,8,55,33,8,49,8,69,33,7,112,0,145,33,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,120,0,145,13,2,2,800,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
21,33,8,40,8,55,33,8,54,8,75,33,6,112,0,145,33,5,5,800,0,615,13,3,59,0,76,13,7,80,0,100,13,2,130,0,145,13,2,2,800,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
22,33,8,35,8,50,33,8,59,8,83,33,5,112,0,145,33,5,5,768,0,615,13,3,59,0,76,13,7,80,0,100,13,2,130,0,145,13,2,2,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
23,33,6,35,6,50,33,10,40,10,55,33,4,112,0,145,33,5,5,768,0,615,13,3,50,0,76,13,5,80,0,100,13,1,130,0,145,13,2,2,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
24,33,5,20,5,25,33,10,30,10,42,33,3,112,0,145,33,5,5,768,0,615,13,2,30,0,76,13,5,50,0,100,13,1,130,0,145,13,2,2,768,0,615,13,10,23,0,23,13,3,23,0,23,5,4,89,0,50
