FromZone,ToZone,ArHour,Purpose,POE,Lane,Dir,RevWght
4662,5291,4,HBS,SY,General,SB,40.32751777
2626,5285,1,HBS,SY,General,SB,40.66306462
4662,5311,1,HBW,SY,General,SB,40.32751777
4503,5291,1,HBW,SY,General,SB,39.99723267
4662,5283,1,HBS,SY,General,SB,40.32751777
4515,4737,6,HBO,SY,General,SB,41.01993962
4443,5050,1,HBS,SY,General,SB,40.55578121
4238,4890,1,HBW,SY,General,SB,40.66306462
4208,5094,1,HBS,SY,General,SB,40.56104296
4443,4912,1,HBW,SY,General,SB,40.55578121
4347,5283,1,HBS,SY,General,SB,61.81524877
4145,5311,1,HBO,SY,General,SB,40.78083136
4664,4829,1,HBS,SY,General,SB,40.32751777
3747,4829,1,HBS,SY,General,SB,40.32751777
4661,5306,1,HBS,SY,General,SB,40.59369792
4539,4974,4,HBW,SY,General,SB,40.3771228
4116,4877,1,HBW,SY,General,SB,39.23343582
4016,4878,1,HBW,SY,General,SB,38.63174898
4646,5012,1,HBS,SY,General,SB,40.5461012
4664,5302,4,HBS,SY,General,SB,40.32751777
4662,4829,1,HBW,SY,General,SB,40.32751777
3014,5311,1,HBO,OM,General,SB,55.41774508
4531,5311,1,HBW,OM,General,SB,55.38979196
4503,4740,1,HBS,OM,General,SB,49.44168424
4208,5064,4,HBS,OM,General,SB,50.13862571
4643,5294,1,HBS,OM,General,SB,49.84995878
4502,5304,6,HBS,OM,General,SB,50.44218773
4430,5311,6,HBS,OM,General,SB,50.13212152
4641,5023,4,HBW,OM,General,SB,49.84995878
4470,5304,1,HBW,OM,General,SB,49.84995878
4443,4950,15,HBS,SY,General,SB,40.55578121
4443,5060,2,HBS,SY,General,SB,40.55578121
4614,5297,2,HBS,SY,General,SB,40.76994637
4656,5007,2,HBS,SY,General,SB,40.56787118
4339,5311,2,HBS,SY,General,SB,39.36895594
4443,4829,2,HBS,SY,General,SB,40.55578121
4662,4829,2,HBW,SY,General,SB,40.32751777
4235,4961,2,HBW,SY,General,SB,40.51465121
4543,5165,15,HBO,SY,General,SB,40.46022626
4590,4829,2,HBW,SY,General,SB,40.32751777
4224,4984,2,HBW,SY,General,SB,40.51465121
3047,5030,2,HBO,SY,General,SB,41.95556667
4642,4829,2,HBW,SY,General,SB,38.49787567
4235,5249,15,HBS,SY,General,SB,40.51465121
4556,4829,2,HBO,SY,General,SB,40.64008966
4662,4829,15,HBW,SY,General,SB,40.32751777
4662,4829,2,HBW,SY,General,SB,40.32751777
4513,4878,2,HBO,SY,General,SB,40.6868429
4443,5283,2,HBW,SY,General,SB,40.55578121
4630,5304,15,HBW,OM,General,SB,49.84995878
4643,4842,2,HBO,OM,General,SB,49.84995878
4629,5302,15,HBS,OM,General,SB,49.84995878
4536,5069,15,HBW,OM,General,SB,48.32008362
4631,5283,15,HBS,OM,General,SB,49.84995878
4591,5299,15,HBW,OM,General,SB,49.84995878
4591,5283,15,HBS,OM,General,SB,49.84995878
4214,4890,16,HBW,SY,General,SB,42.40116837
3452,5190,16,HBS,SY,General,SB,50.13115722
4616,4829,3,HBO,SY,General,SB,40.74532461
4590,5297,3,HBW,SY,General,SB,40.32751777
3974,4803,3,HBO,SY,General,SB,40.55943631
4660,4889,16,HBS,SY,General,SB,42.6100718
4642,5122,3,HBW,SY,General,SB,38.49787567
4664,4821,3,HBO,SY,General,SB,40.32751777
4443,5030,16,HBO,SY,General,SB,40.55578121
2878,5286,3,HBW,SY,General,SB,23.51539153
4660,5291,3,HBS,SY,General,SB,42.6100718
4453,4941,3,HBW,SY,General,SB,40.55618287
4253,5297,3,HBS,SY,General,SB,40.30859958
4663,4921,3,HBS,SY,General,SB,46.91462295
4631,5030,3,HBW,OM,General,SB,49.84995878
4643,5311,3,HBS,OM,General,SB,49.84995878
4643,4818,3,HBW,OM,General,SB,49.84995878
4246,5297,15,HBW,OM,General,SB,50.0987565
4644,5211,3,HBW,OM,General,SB,49.84995878
1850,5087,16,HBW,OM,General,SB,50.18748162
4664,5285,4,HBS,SY,General,SB,25.71906804
3656,4921,4,HBW,SY,General,SB,25.53698904
3667,4818,4,HBW,OM,General,SB,29.32946808
4643,5303,4,HBW,OM,General,SB,30.30968201
4660,5030,4,HBO,OM,General,SB,32.02522243
4526,5206,4,HBS,OM,General,SB,30.64703621
4660,4829,4,HBS,SY,General,SB,27.17477784
4443,4707,4,HBS,SY,General,SB,25.86464415
4472,4727,4,HBS,SY,General,SB,25.71906804
4430,5030,4,HBW,SY,General,SB,25.86464415
4660,4871,4,HBS,SY,General,SB,27.17477784
4077,4829,4,HBW,SY,General,SB,28.56155479
4238,5285,4,HBS,SY,General,SB,25.93306466
4662,5283,4,HBS,SY,General,SB,25.71906804
4561,5124,5,HBW,OM,General,SB,30.43882754
4643,5304,5,HBS,OM,General,SB,30.30968201
4503,5064,5,HBS,OM,General,SB,30.06144366
4643,5208,5,HBS,OM,General,SB,30.30968201
4295,5122,5,HBO,OM,General,SB,30.50943796
4646,5306,5,HBS,SY,General,SB,25.85847068
4646,5306,5,HBS,SY,General,SB,25.85847068
4646,5122,5,HBS,SY,General,SB,25.85847068
4371,5283,5,HBW,SY,General,SB,25.85975148
4529,5283,5,HBS,SY,General,SB,25.6210866
3866,4736,5,HBW,SY,General,SB,25.67869712
4503,5030,5,HBS,SY,General,SB,25.50842714
4660,5268,5,HBS,SY,General,SB,27.17477784
4540,5030,5,HBW,SY,General,SB,25.71906804
4339,4818,5,HBS,SY,General,SB,25.10774064
4664,5012,5,HBS,SY,General,SB,25.71906804
4551,5304,5,HBS,SY,General,SB,25.53055942
4662,5294,5,HBS,SY,General,SB,25.71906804
4660,5302,5,HBS,SY,General,SB,27.17477784
4662,5289,5,HBW,SY,General,SB,25.71906804
4282,5297,5,HBS,SY,General,SB,25.9189246
4645,5283,5,HBW,SY,General,SB,25.86259486
4644,5297,6,HBW,OM,General,SB,30.30968201
4643,5122,6,HBO,OM,General,SB,30.30968201
4643,4733,6,HBS,OM,General,SB,30.30968201
4185,5297,6,HBS,OM,General,SB,31.03682747
4609,4848,6,HBW,OM,General,SB,30.30968201
4643,5302,6,HBW,OM,General,SB,30.30968201
4430,4969,6,HBO,OM,General,SB,30.48124209
4647,5297,6,HBW,OM,General,SB,30.30968201
4572,4878,6,HBS,SY,General,SB,25.8191244
4662,5311,6,HBW,SY,General,SB,25.71906804
4660,5112,6,HBS,SY,General,SB,27.17477784
4664,5302,6,HBS,SY,General,SB,25.71906804
4434,4941,6,HBO,SY,General,SB,25.88572617
3975,4728,6,HBS,SY,General,SB,26.22137348
4663,4921,6,HBS,SY,General,SB,29.92002599
4443,4950,6,HBS,SY,General,SB,25.86464415
4523,5249,6,HBO,SY,General,SB,25.78620775
4642,5306,6,HBS,SY,General,SB,24.55220501
4442,4884,6,HBO,SY,General,SB,25.89807312
4401,4986,6,HBS,SY,General,SB,25.85178489
4339,5261,6,HBS,SY,General,SB,25.10774064
4662,5285,6,HBS,SY,General,SB,25.71906804
3537,4820,6,HBW,SY,General,SB,26.72109169
4443,5060,6,HBS,SY,General,SB,25.86464415
4664,4899,6,HBW,SY,General,SB,25.71906804
532,4737,6,HBO,SY,General,SB,27.47235967
4660,4904,6,HBW,SY,General,SB,27.17477784
4662,4941,6,HBO,SY,General,SB,25.71906804
4613,4941,6,HBS,SY,General,SB,25.68435827
4234,4829,16,HBO,SY,General,SB,28.01297219
4430,5291,16,HBS,SY,General,SB,28.6397714
4637,4818,7,HBS,SY,General,SB,27.37987606
4430,4877,16,HBO,SY,General,SB,28.6397714
4356,4829,16,HBO,SY,General,SB,28.47857581
2730,5190,16,HBS,SY,General,SB,28.62666699
2479,5221,16,HBS,SY,General,SB,28.47857581
4646,5283,23,HBO,SY,General,SB,28.63293555
4662,5297,7,HBS,OM,General,SB,45.18304872
4643,5030,7,HBW,OM,General,SB,45.18304872
4646,5180,16,HBS,OM,General,SB,45.42795012
4332,5039,7,HBS,OM,General,SB,52.19410515
4307,5122,7,HBO,OM,General,SB,45.50521871
4643,5303,16,HBW,OM,General,SB,45.18304872
4540,4846,7,HBS,OM,General,SB,45.18304872
4641,5298,7,HBW,OM,General,SB,45.18304872
4629,4760,7,HBS,OM,General,SB,45.18304872
4513,4878,7,HBO,SY,General,SB,28.73232482
4642,5124,7,HBW,SY,General,SB,27.18651511
3631,4716,7,HBS,SY,General,SB,36.03196295
4443,4950,7,HBS,SY,General,SB,28.6397714
4475,5222,7,HBS,SY,General,SB,28.24678095
4339,5283,16,HBW,SY,General,SB,27.8016565
4664,5030,7,HBS,SY,General,SB,28.47857581
4664,4986,7,HBS,SY,General,SB,28.47857581
4660,4889,16,HBW,SY,General,SB,30.09047488
4662,4704,7,HBO,SY,General,SB,28.47857581
4660,4877,7,HBO,SY,General,SB,30.09047488
4503,5042,16,HBW,SY,General,SB,28.24533435
4664,5291,7,HBO,SY,General,SB,28.47857581
4235,5249,16,HBS,SY,General,SB,28.61072612
4646,4891,7,HBS,SY,General,SB,28.63293555
4646,5122,16,HBS,SY,General,SB,28.63293555
4444,4902,7,HBO,SY,General,SB,28.61756198
4646,5304,16,HBS,SY,General,SB,28.63293555
4662,4877,7,HBS,SY,General,SB,28.47857581
4664,5302,16,HBS,SY,General,SB,28.47857581
4260,4737,16,HBO,SY,General,SB,28.66910032
4554,4737,7,HBO,SY,General,SB,28.94023678
3667,5143,7,HBO,SY,General,SB,27.55757979
4246,4737,7,HBS,SY,General,SB,28.62071044
3316,4902,7,HBW,SY,General,SB,28.14966083
4430,4737,7,HBS,SY,General,SB,28.6397714
4660,5112,16,HBS,SY,General,SB,30.09047488
3998,5293,16,HBO,SY,General,SB,28.61384623
4661,5080,16,HBS,SY,General,SB,28.66654751
4162,4733,7,HBO,SY,General,SB,28.92199839
4637,4791,16,HBS,SY,General,SB,27.37987606
3589,5024,7,HBW,SY,General,SB,29.942951
4662,4941,7,HBO,SY,General,SB,28.47857581
4443,4821,16,HBW,SY,General,SB,28.6397714
4664,4821,7,HBO,SY,General,SB,28.47857581
4443,5302,7,HBS,SY,General,SB,28.6397714
4661,5291,7,HBO,SY,General,SB,28.66654751
4145,4877,7,HBO,SY,General,SB,28.79869782
4660,4829,7,HBO,SY,General,SB,30.09047488
4664,4941,7,HBS,SY,General,SB,28.47857581
4660,4740,16,HBS,SY,General,SB,30.09047488
4503,4696,16,HBS,OM,General,SB,44.81299648
4616,5291,8,HBO,OM,General,SB,45.65116052
4430,5297,8,HBS,OM,General,SB,45.43879563
4646,5211,8,HBS,OM,General,SB,45.42795012
4236,4778,8,HBO,OM,General,SB,45.23952635
4624,5030,8,HBW,OM,General,SB,45.18304872
4459,5262,8,HBO,OM,General,SB,45.54135541
3014,5042,16,HBW,OM,General,SB,50.22958369
4544,5299,8,HBW,OM,General,SB,72.29289595
4106,4893,8,HBO,SY,General,SB,24.96205583
4660,4904,16,HBO,SY,General,SB,30.09047488
4475,4906,16,HBW,SY,General,SB,28.24678095
2756,4780,8,HBW,SY,General,SB,28.83911726
4430,4890,8,HBS,SY,General,SB,28.6397714
3975,5283,8,HBS,SY,General,SB,29.03477572
4430,5030,8,HBW,SY,General,SB,28.6397714
4347,5030,8,HBS,SY,General,SB,43.65282929
3074,4728,8,HBS,SY,General,SB,26.8612875
4365,5190,8,HBO,SY,General,SB,28.56517271
4430,4728,16,HBS,SY,General,SB,28.6397714
4646,5120,8,HBW,SY,General,SB,28.63293555
4238,4927,8,HBO,SY,General,SB,28.71553304
4448,4890,8,HBS,SY,General,SB,28.58281543
4238,5224,16,HBS,SY,General,SB,28.71553304
4664,4941,16,HBS,SY,General,SB,28.47857581
4430,5064,8,HBW,SY,General,SB,28.6397714
4453,5311,8,HBS,SY,General,SB,28.64005504
4202,4829,8,HBO,SY,General,SB,28.47857581
3798,5297,8,HBO,SY,General,SB,28.51505259
4308,5306,16,HBO,SY,General,SB,29.52803477
4503,4842,16,HBW,SY,General,SB,28.24533435
4661,5222,8,HBO,SY,General,SB,28.66654751
4443,5311,16,HBS,SY,General,SB,28.6397714
4399,4941,8,HBO,SY,General,SB,28.68620412
4443,5012,8,HBS,SY,General,SB,28.6397714
4503,5298,16,HBO,SY,General,SB,28.24533435
4664,5172,8,HBS,SY,General,SB,28.47857581
4238,4802,8,HBW,SY,General,SB,28.71553304
4664,5283,8,HBO,SY,General,SB,28.47857581
4430,4969,16,HBS,SY,General,SB,28.6397714
4430,5311,8,HBS,SY,General,SB,28.6397714
4490,4877,8,HBW,SY,General,SB,32.85632778
3798,4849,8,HBS,SY,General,SB,28.51505259
4346,4842,8,HBW,SY,General,SB,28.49168024
4662,4878,8,HBW,SY,General,SB,28.47857581
4645,5122,8,HBS,SY,General,SB,28.63750224
2626,4914,16,HBO,SY,General,SB,28.71553304
4503,4889,8,HBS,SY,General,SB,28.24533435
