FromZone,ToZone,ArHour,Purpose,POE,Lane,Dir,RevWght
4503,4791,8,HBW,SY,General,SB,28.24533435
2376,5301,8,HBO,SY,General,SB,28.11976462
4443,5172,16,HBS,SY,General,SB,28.6397714
4280,5107,8,HBO,SY,General,SB,28.67851733
3085,4971,8,HBW,SY,General,SB,27.6142521
3537,5173,8,HBS,SY,General,SB,29.58811083
4651,5306,8,HBS,SY,General,SB,28.7684896
4556,4829,8,HBO,SY,General,SB,28.69930853
4646,5080,8,HBS,SY,General,SB,28.63293555
4332,4733,8,HBS,SY,General,SB,32.89759817
4664,4907,8,HBS,SY,General,SB,28.47857581
4662,4946,8,HBO,SY,General,SB,28.47857581
4662,4737,8,HBS,SY,General,SB,28.47857581
4662,4984,8,HBW,SY,General,SB,28.47857581
4662,4829,8,HBW,SY,General,SB,28.47857581
3011,4842,16,HBO,SY,General,SB,28.8732965
4637,5233,8,HBS,SY,General,SB,27.37987606
2921,4971,23,HBO,SY,General,SB,33.26554276
4661,4978,8,HBS,SY,General,SB,28.66654751
4662,4829,8,HBW,SY,General,SB,28.47857581
4662,5190,8,HBS,SY,General,SB,28.47857581
4644,4856,17,HBW,OM,General,SB,45.18304872
4540,5302,8,HBS,OM,General,SB,45.18304872
3667,5302,9,HBS,OM,General,SB,43.72183068
4590,4950,9,HBS,OM,General,SB,45.18304872
4644,5107,9,HBW,OM,General,SB,45.18304872
4627,5039,17,HBS,OM,General,SB,45.18304872
4332,5208,9,HBS,OM,General,SB,52.19410515
3296,5297,16,HBO,OM,General,SB,45.10762521
4324,5308,9,HBO,OM,General,SB,44.91515125
4664,5144,17,HBS,SY,General,SB,28.47857581
4662,4829,9,HBW,SY,General,SB,28.47857581
4206,5023,9,HBS,SY,General,SB,28.66112989
4616,5306,9,HBO,SY,General,SB,28.77362357
4453,4740,17,HBS,SY,General,SB,28.64005504
4443,5311,9,HBS,SY,General,SB,28.6397714
4430,5184,9,HBS,SY,General,SB,28.6397714
3085,4974,9,HBO,SY,General,SB,27.6142521
4169,5298,9,HBW,SY,General,SB,29.980846
4656,5299,8,HBO,SY,General,SB,28.64830913
4430,5039,9,HBW,SY,General,SB,28.6397714
4430,5101,9,HBS,SY,General,SB,28.6397714
4662,5301,9,HBS,SY,General,SB,28.47857581
3663,5064,9,HBW,SY,General,SB,28.72321982
4642,5064,9,HBW,SY,General,SB,27.18651511
3978,5306,9,HBS,SY,General,SB,34.99620406
4664,5290,17,HBW,SY,General,SB,28.47857581
4352,4815,9,HBW,SY,General,SB,28.73317577
4443,5108,9,HBO,SY,General,SB,28.6397714
4646,5311,16,HBS,SY,General,SB,28.63293555
4662,5233,9,HBS,SY,General,SB,28.47857581
4614,5299,9,HBW,SY,General,SB,28.79101103
4646,5306,9,HBS,SY,General,SB,28.63293555
4518,5302,9,HBS,SY,General,SB,18.34903769
3721,5297,9,HBO,SY,General,SB,45.4276258
4646,4921,9,HBO,SY,General,SB,28.63293555
4145,4890,9,HBW,SY,General,SB,28.79869782
4443,4890,9,HBW,SY,General,SB,28.6397714
4443,5291,17,HBW,SY,General,SB,28.6397714
4503,5064,9,HBW,SY,General,SB,28.24533435
4642,5124,17,HBW,SY,General,SB,27.18651511
4347,5302,9,HBS,SY,General,SB,43.65282929
4443,5294,9,HBS,SY,General,SB,28.6397714
4664,5151,9,HBS,SY,General,SB,28.47857581
4660,5300,17,HBO,SY,General,SB,30.09047488
4457,5185,9,HBO,SY,General,SB,28.62212866
4404,5283,17,HBW,SY,General,SB,28.64859276
3975,4728,9,HBS,SY,General,SB,29.03477572
4443,4896,9,HBS,SY,General,SB,28.6397714
4660,5302,9,HBS,SY,General,SB,30.09047488
4443,4737,9,HBO,SY,General,SB,28.6397714
4526,4689,9,HBS,SY,General,SB,28.79554935
4214,5304,9,HBW,SY,General,SB,29.942951
4443,4732,9,HBO,SY,General,SB,28.6397714
3767,4948,9,HBS,SY,General,SB,32.05607953
4661,5064,9,HBO,SY,General,SB,28.66654751
4443,4737,9,HBS,SY,General,SB,28.6397714
4430,4984,17,HBS,SY,General,SB,28.6397714
4443,5304,9,HBW,SY,General,SB,28.6397714
4224,4984,9,HBW,SY,General,SB,28.61072612
4113,4877,16,HBS,SY,General,SB,28.52869593
4616,5064,17,HBS,SY,General,SB,28.77362357
4164,4904,9,HBW,SY,General,SB,29.20507632
4407,4946,9,HBO,SY,General,SB,28.55918779
4373,5064,9,HBW,SY,General,SB,28.64033869
4295,5298,9,HBS,SY,General,SB,28.66626386
4469,5286,9,HBS,SY,General,SB,28.47885946
4175,5135,9,HBW,SY,General,SB,0.028194335
4646,4736,9,HBS,SY,General,SB,28.63293555
4308,5064,9,HBW,SY,General,SB,29.52803477
4214,5299,9,HBW,SY,General,SB,29.942951
4662,5311,17,HBW,SY,General,SB,28.47857581
4485,4877,9,HBO,SY,General,SB,28.61157707
4417,4829,9,HBW,SY,General,SB,28.772489
4033,4789,9,HBW,SY,General,SB,28.69074244
4503,5039,8,HBO,SY,General,SB,28.24533435
3537,4820,9,HBW,SY,General,SB,29.58811083
4662,4829,9,HBO,SY,General,SB,28.47857581
4642,4850,9,HBS,SY,General,SB,27.18651511
4503,4759,17,HBW,SY,General,SB,28.24533435
3448,5289,9,HBO,SY,General,SB,28.70242862
4430,5084,10,HBS,SY,General,SB,28.0270135
4662,5289,10,HBW,SY,General,SB,27.86926675
4614,4794,10,HBS,SY,General,SB,28.1750173
532,4737,10,HBO,SY,General,SB,29.76913933
4280,4948,17,HBO,SY,General,SB,28.06493045
4322,4877,10,HBO,SY,General,SB,27.64298636
3448,5289,10,HBO,SY,General,SB,28.08833015
3858,4877,10,HBS,SY,General,SB,27.94174199
3814,5024,10,HBO,SY,General,SB,28.1973067
4640,4818,10,HBS,SY,General,SB,27.56354396
4613,4978,17,HBS,SY,General,SB,27.83165513
4339,5259,10,HBO,SY,General,SB,27.20683035
4661,4978,10,HBS,SY,General,SB,28.05321672
4664,5283,10,HBS,SY,General,SB,27.86926675
4145,4737,10,HBS,SY,General,SB,28.18253962
4660,4961,10,HBS,SY,General,SB,29.44667867
4563,4903,10,HBO,SY,General,SB,27.97963118
4662,4704,10,HBO,SY,General,SB,27.86926675
4662,4912,17,HBW,SY,General,SB,27.86926675
4589,5289,17,HBS,SY,General,SB,27.86926675
4280,4759,10,HBO,SY,General,SB,28.06493045
4430,4903,10,HBO,SY,General,SB,28.0270135
4665,4737,10,HBS,SY,General,SB,27.86926675
4175,5285,10,HBW,SY,General,SB,0.027591107
4662,4877,17,HBO,SY,General,SB,27.86926675
4660,4948,10,HBS,SY,General,SB,29.44667867
4272,4878,17,HBW,SY,General,SB,28.11730914
4485,4935,10,HBW,SY,General,SB,27.99942239
3744,4890,21,HBO,SY,General,SB,27.97380208
4554,4737,10,HBO,SY,General,SB,28.32105032
4637,4971,10,HBW,SY,General,SB,26.79407406
4430,5259,10,HBW,SY,General,SB,28.0270135
4637,4878,10,HBO,SY,General,SB,26.79407406
4335,5030,10,HBS,SY,General,SB,27.95231765
4614,4734,10,HBO,SY,General,SB,28.1750173
4339,4945,18,HBO,SY,General,SB,27.20683035
4637,4818,10,HBS,SY,General,SB,26.79407406
2921,4971,10,HBO,SY,General,SB,32.55381486
4637,4891,17,HBS,SY,General,SB,26.79407406
4312,5289,10,HBO,SY,General,SB,36.86660471
4616,5064,10,HBS,SY,General,SB,28.15800186
3721,4736,10,HBO,SY,General,SB,44.4556859
3804,4737,10,HBW,SY,General,SB,26.62797226
4027,4737,10,HBS,SY,General,SB,27.94063168
4661,5303,10,HBS,SY,General,SB,28.05321672
4661,4919,10,HBS,SY,General,SB,28.05321672
4492,5112,17,HBO,SY,General,SB,28.02229469
4453,5064,10,HBS,SY,General,SB,28.02729108
4411,4850,10,HBO,SY,General,SB,28.04902531
4661,4953,10,HBS,SY,General,SB,28.05321672
4616,4726,10,HBS,SY,General,SB,28.15800186
4430,5283,10,HBS,SY,General,SB,28.0270135
4637,5304,10,HBS,SY,General,SB,26.79407406
4456,4877,10,HBO,SY,General,SB,27.97072097
4399,4941,10,HBO,SY,General,SB,28.07245277
4430,4818,10,HBW,SY,General,SB,28.0270135
4425,5091,10,HBO,SY,General,SB,28.23464074
4614,4889,10,HBS,SY,General,SB,28.1750173
4518,5259,10,HBO,SY,General,SB,17.95645363
4614,5302,17,HBS,SY,General,SB,28.1750173
4660,4818,10,HBW,SY,General,SB,29.44667867
4339,4889,10,HBW,SY,General,SB,27.20683035
4256,4963,17,HBO,SY,General,SB,27.98829157
4662,4984,10,HBW,SY,General,SB,27.86926675
4646,4778,17,HBS,SY,General,SB,28.0203239
4347,5030,10,HBS,SY,General,SB,42.71886178
4646,5304,10,HBS,SY,General,SB,28.0203239
4651,4737,10,HBS,SY,General,SB,28.15297773
3364,4737,10,HBO,SY,General,SB,28.19478075
4589,5283,10,HBW,SY,General,SB,27.86926675
4093,4737,10,HBO,SY,General,SB,27.09896412
4260,4737,10,HBO,SY,General,SB,28.05571491
4093,5259,10,HBO,SY,General,SB,27.09896412
4529,5259,10,HBS,SY,General,SB,27.76309373
4582,4913,10,HBO,SY,General,SB,27.86926675
1696,5299,10,HBO,SY,General,SB,28.09252156
4613,5087,10,HBO,SY,General,SB,27.83165513
4637,5265,10,HBS,SY,General,SB,26.79407406
4651,5293,17,HBS,SY,General,SB,28.15297773
4476,5064,10,HBO,SY,General,SB,23.66548121
4208,5189,10,HBO,SY,General,SB,28.03064975
4312,4829,10,HBS,SY,General,SB,36.86660471
4027,4876,10,HBS,SY,General,SB,27.94063168
4339,5283,10,HBW,SY,General,SB,27.20683035
4661,5080,17,HBS,SY,General,SB,28.05321672
3029,4842,17,HBW,SY,General,SB,28.04375136
4430,5268,10,HBS,SY,General,SB,28.0270135
4339,4890,10,HBO,SY,General,SB,27.20683035
4647,5302,10,HBO,OM,General,SB,43.20981456
4643,5149,18,HBW,OM,General,SB,43.20981456
4661,4826,10,HBS,OM,General,SB,43.4950192
4660,5030,10,HBO,OM,General,SB,45.65550777
4627,5311,10,HBS,OM,General,SB,43.20981456
4443,5299,10,HBS,OM,General,SB,43.45439249
4238,5302,10,HBS,OM,General,SB,43.56934368
4459,5262,10,HBO,OM,General,SB,43.55247327
4390,4904,10,HBS,OM,General,SB,43.36151915
4443,5306,10,HBS,OM,General,SB,43.45439249
4307,5122,10,HBO,OM,General,SB,43.51791476
4532,4737,17,HBO,OM,General,SB,37.71698937
4544,5283,10,HBO,OM,General,SB,69.13572052
3631,5094,17,HBW,OM,General,SB,54.67037564
4503,4890,10,HBS,OM,General,SB,42.85592325
4526,5094,10,HBS,OM,General,SB,43.69075039
4430,4875,10,HBO,OM,General,SB,43.45439249
4591,5064,10,HBS,OM,General,SB,43.20981456
4526,4829,10,HBS,OM,General,SB,43.69075039
4544,4829,10,HBW,OM,General,SB,69.13572052
4526,5206,10,HBS,OM,General,SB,43.69075039
4024,4883,11,HBO,SY,General,SB,28.97624197
3011,4842,11,HBO,SY,General,SB,28.25554225
2804,4890,18,HBO,SY,General,SB,27.88933554
4614,4827,18,HBW,SY,General,SB,28.1750173
4315,4903,11,HBW,SY,General,SB,26.38578674
3522,5299,11,HBO,SY,General,SB,27.85089119
4456,4903,11,HBO,SY,General,SB,27.97072097
4648,4737,11,HBO,SY,General,SB,26.27794826
4646,4768,11,HBS,SY,General,SB,28.0203239
4661,4737,11,HBO,SY,General,SB,28.05321672
4661,4878,11,HBO,SY,General,SB,28.05321672
4661,5064,21,HBO,SY,General,SB,28.05321672
4366,5283,11,HBO,SY,General,SB,28.11508853
4615,4795,11,HBO,SY,General,SB,27.98884673
4485,4877,11,HBO,SY,General,SB,27.99942239
4516,4829,18,HBO,SY,General,SB,27.99831208
4660,5303,11,HBW,SY,General,SB,29.44667867
4037,5208,18,HBO,SY,General,SB,27.96850037
4637,5240,11,HBS,SY,General,SB,26.79407406
3892,4878,11,HBO,SY,General,SB,27.77647292
4430,5302,18,HBS,SY,General,SB,28.0270135
4469,4817,11,HBO,SY,General,SB,27.86954433
4656,4801,19,HBO,SY,General,SB,28.03536855
4442,4733,18,HBO,SY,General,SB,28.06323724
4050,5305,11,HBO,SY,General,SB,27.88517189
3744,5084,18,HBO,SY,General,SB,27.97380208
4661,5291,11,HBW,SY,General,SB,28.05321672
4453,4829,11,HBS,SY,General,SB,28.02729108
4469,4950,11,HBO,SY,General,SB,27.86954433
4651,4704,11,HBS,SY,General,SB,28.15297773
4661,4816,11,HBS,SY,General,SB,28.05321672
4233,5298,11,HBS,SY,General,SB,27.85924624
4453,5283,11,HBS,SY,General,SB,28.02729108
2376,5301,11,HBO,SY,General,SB,27.51813244
4661,4736,18,HBS,SY,General,SB,28.05321672
3971,5301,19,HBO,SY,General,SB,28.11259034
4429,4900,11,HBO,SY,General,SB,26.11129131
4664,5189,11,HBS,SY,General,SB,27.86926675
4430,4949,21,HBW,SY,General,SB,28.0270135
3085,4895,19,HBS,SY,General,SB,27.02343555
4665,4921,11,HBS,SY,General,SB,27.86926675
3892,5211,11,HBO,SY,General,SB,27.77647292
4401,4704,11,HBW,SY,General,SB,28.01307916
4339,5262,11,HBS,SY,General,SB,27.20683035
4661,4830,11,HBS,SY,General,SB,28.05321672
4430,5298,11,HBS,SY,General,SB,28.0270135
4503,5030,18,HBS,SY,General,SB,27.64101557
4182,4961,11,HBS,SY,General,SB,28.01030339
4660,5299,11,HBS,SY,General,SB,29.44667867
4430,5283,11,HBW,SY,General,SB,28.0270135
4646,4829,18,HBS,SY,General,SB,28.0203239
4661,4829,11,HBS,SY,General,SB,28.05321672
4503,5308,11,HBO,SY,General,SB,27.64101557
4662,5294,11,HBS,SY,General,SB,27.86926675
4646,4786,11,HBW,SY,General,SB,28.0203239
4662,5294,11,HBS,SY,General,SB,27.86926675
4390,4806,11,HBS,SY,General,SB,27.96711249
4664,4820,19,HBS,SY,General,SB,27.86926675
4662,5012,11,HBO,SY,General,SB,27.86926675
4661,5291,11,HBO,SY,General,SB,28.05321672
4664,5042,11,HBO,SY,General,SB,27.86926675
4664,5291,11,HBO,SY,General,SB,27.86926675
4600,5283,11,HBO,SY,General,SB,29.92658074
4642,5311,11,HBS,SY,General,SB,26.60485013
4052,4968,11,HBO,SY,General,SB,28.11814187
4430,5064,11,HBS,SY,General,SB,28.0270135
4660,5012,11,HBS,SY,General,SB,29.44667867
4664,4921,11,HBO,SY,General,SB,27.86926675
4500,4829,11,HBO,SY,General,SB,27.95595391
4664,5283,11,HBO,SY,General,SB,27.86926675
4475,4727,11,HBS,SY,General,SB,27.64243121
3522,5306,11,HBO,SY,General,SB,27.85089119
4642,4755,11,HBO,SY,General,SB,26.60485013
4026,5297,11,HBS,SY,General,SB,27.97183128
4640,4892,11,HBW,SY,General,SB,27.56354396
4664,5283,11,HBS,SY,General,SB,27.86926675
4503,5311,18,HBW,SY,General,SB,27.64101557
4206,5023,11,HBS,SY,General,SB,28.047915
