FromZone,ToZone,ArHour,Type,Dir,Lane,RevWght
5286,4644,15,Loaded,NB,GP,4.667415397
5124,4451,13,Loaded,NB,GP,6.559950414
4941,4654,15,Loaded,NB,GP,4.667415397
5199,4644,15,Loaded,NB,GP,4.667415397
5312,4627,16,Loaded,NB,GP,18.13843294
5297,4633,16,Empty,NB,GP,18.13843294
5297,4624,20,Loaded,NB,GP,23.01897554
4830,4653,16,Empty,NB,GP,18.13843294
5064,4643,16,Loaded,NB,GP,5.410234687
5306,4450,20,Loaded,NB,GP,6.865976808
5297,3522,16,Loaded,NB,GP,5.410234687
4893,4472,16,Loaded,NB,GP,5.410234687
5311,4590,16,Loaded,NB,GP,5.410234687
5297,4607,16,Loaded,NB,GP,5.410234687
5122,877,16,Loaded,NB,GP,5.410234687
4878,3544,20,Loaded,NB,GP,6.865976808
5311,4595,16,Loaded,NB,GP,5.410234687
5297,4641,16,Loaded,NB,GP,5.410234687
5074,4641,16,Loaded,NB,GP,5.410234687
5295,4653,16,Loaded,NB,GP,5.410234687
5311,4595,16,Loaded,NB,GP,5.410234687
5064,4652,17,Loaded,NB,GP,10.26937319
5064,4607,17,Loaded,NB,GP,10.26937319
5304,4631,17,Loaded,NB,GP,10.26937319
5223,4643,17,Empty,NB,GP,10.26937319
4912,4169,17,Loaded,NB,GP,3.063093663
5297,4653,17,Loaded,NB,GP,3.063093663
5311,4644,17,Loaded,NB,GP,3.063093663
5311,4627,17,Loaded,NB,GP,3.063093663
4881,4597,17,Loaded,NB,GP,3.063093663
5311,1427,17,Loaded,NB,GP,3.063093663
4829,4653,17,Loaded,NB,GP,3.063093663
5306,851,17,Loaded,NB,GP,3.063093663
4878,4654,17,Loaded,NB,GP,3.063093663
5306,4647,17,Loaded,NB,GP,3.063093663
5306,4631,17,Loaded,NB,GP,3.063093663
5311,4644,21,Loaded,NB,GP,10.82457705
5068,1970,17,Loaded,NB,GP,3.063093663
5183,4626,17,Loaded,NB,GP,3.063093663
5311,4595,17,Loaded,NB,GP,3.063093663
5297,4641,17,Loaded,NB,GP,3.063093663
5311,4654,17,Loaded,NB,GP,3.063093663
5311,4595,17,Loaded,NB,GP,3.063093663
5122,4633,17,Loaded,NB,GP,3.063093663
5297,4644,18,Loaded,NB,GP,13.71994406
5110,4644,18,Loaded,NB,GP,13.71994406
5297,4633,18,Loaded,NB,GP,13.71994406
5297,4608,18,Empty,NB,GP,13.71994406
4830,4608,18,Loaded,NB,GP,4.092311474
5211,4654,18,Loaded,NB,GP,4.092311474
4830,4629,18,Loaded,NB,GP,4.092311474
5306,4633,18,Loaded,NB,GP,4.092311474
5306,4644,18,Loaded,NB,GP,4.092311474
5311,4595,18,Loaded,NB,GP,4.092311474
5306,4644,18,Loaded,NB,GP,4.092311474
5297,4540,18,Loaded,NB,GP,4.092311474
5311,4653,18,Loaded,NB,GP,4.092311474
5311,4544,18,Loaded,NB,GP,4.092311474
4830,4641,18,Loaded,NB,GP,11.36069442
5297,4590,18,Loaded,NB,GP,4.092311474
5311,4626,18,Loaded,NB,GP,4.092311474
4876,4631,18,Loaded,NB,GP,4.092311474
5211,4644,19,Loaded,NB,GP,8.754598131
5223,4624,19,Empty,NB,GP,8.754598131
5199,4653,19,Loaded,NB,GP,8.754598131
5306,4608,19,Loaded,NB,GP,8.754598131
5286,4590,19,Loaded,NB,GP,7.249177818
5311,997,19,Loaded,NB,GP,7.249177818
5297,1118,19,Loaded,NB,GP,2.611274668
4977,4644,19,Loaded,NB,GP,2.611274668
5311,4590,19,Loaded,NB,GP,2.611274668
5297,4589,19,Loaded,NB,GP,2.611274668
5306,4631,19,Loaded,NB,GP,2.611274668
5297,4544,19,Loaded,NB,GP,2.611274668
5110,4653,19,Loaded,NB,GP,2.611274668
5311,4595,19,Loaded,NB,GP,2.611274668
5311,4595,19,Loaded,NB,GP,2.611274668
5306,4653,19,Loaded,NB,GP,2.611274668
4830,4653,19,Loaded,NB,GP,2.611274668
5311,4590,19,Loaded,NB,GP,2.611274668
4706,4627,20,Loaded,NB,GP,0
5298,4597,20,Loaded,NB,GP,0
5297,4644,20,Loaded,NB,GP,0
5311,4590,20,Loaded,NB,GP,0
5243,4653,20,Loaded,NB,GP,0
5311,4595,20,Loaded,NB,GP,0
4737,4607,20,Loaded,NB,GP,0
5297,2524,20,Loaded,NB,GP,0
5312,2040,20,Loaded,NB,GP,0
4830,4608,21,Empty,NB,GP,0
4732,4608,21,Loaded,NB,GP,0
5297,4608,7,Loaded,NB,FAST,75.33940493
4830,4608,6,Loaded,NB,FAST,121.2780714
5282,4611,8,Loaded,NB,FAST,35.74623529
4830,2253,8,Loaded,NB,FAST,26.09573651
5306,4631,8,Loaded,NB,FAST,15.33497988
4952,4540,9,Loaded,NB,FAST,15.22702935
5064,4608,9,Loaded,NB,FAST,10.37914583
5074,4630,9,Loaded,NB,FAST,15.22702935
5297,4653,9,Loaded,NB,FAST,17.66232866
5298,4608,9,Loaded,NB,FAST,24.19405775
5297,4608,10,Loaded,NB,FAST,2.707762714
5311,4608,10,Loaded,NB,FAST,5.41552543
5311,4608,10,Loaded,NB,FAST,10.31528653
5306,4649,10,Loaded,NB,FAST,15.1333427
5312,4608,10,Loaded,NB,FAST,24.04520008
5311,4590,10,Loaded,NB,FAST,19.1268637
5297,4588,10,Loaded,NB,FAST,15.1333427
5311,4644,11,Loaded,NB,FAST,8.689727174
5306,4643,11,Loaded,NB,FAST,16.09515404
5298,4608,11,Loaded,NB,FAST,10.021511
5311,4627,11,Loaded,NB,FAST,8.689727174
5212,4608,11,Loaded,NB,FAST,0
5286,4607,11,Loaded,NB,FAST,24.27432666
5311,4544,11,Loaded,NB,FAST,8.253009059
4830,4653,11,Loaded,NB,FAST,10.021511
5311,4653,11,Loaded,NB,FAST,10.92422845
5112,4608,11,Loaded,NB,FAST,8.689727174
5286,4633,12,Loaded,NB,FAST,3.158156804
5297,4641,12,Loaded,NB,FAST,2.980638254
5286,4590,12,Loaded,NB,FAST,26.08058472
5297,4608,12,Loaded,NB,FAST,5.526774406
5311,4595,12,Loaded,NB,FAST,2.860076578
5112,4540,12,Loaded,NB,FAST,6.947944968
5312,4653,12,Loaded,NB,FAST,2.600835015
5282,4611,12,Loaded,NB,FAST,5.526774406
4830,4653,12,Loaded,NB,FAST,5.526774406
5297,4641,12,Loaded,NB,FAST,2.600835015
5212,4653,12,Loaded,NB,FAST,2.600835015
5211,4627,15,Loaded,NB,FAST,5.683618086
5003,4608,12,Loaded,NB,FAST,6.947944968
5297,4627,12,Loaded,NB,FAST,3.158156804
4952,4588,12,Loaded,NB,FAST,7.649757592
5297,4653,12,Loaded,NB,FAST,2.600835015
5297,4653,12,Loaded,NB,FAST,6.947944968
5297,2477,13,Loaded,NB,FAST,1.983563075
5311,4623,13,Loaded,NB,FAST,5.542941343
4830,4312,13,Loaded,NB,FAST,0.991781538
5311,4595,13,Loaded,NB,FAST,3.296782106
5311,4627,13,Loaded,NB,FAST,3.625393087
5297,4540,13,Loaded,NB,FAST,3.778215381
5311,4607,13,Loaded,NB,FAST,9.696725779
5311,4644,13,Loaded,NB,FAST,6.873606191
5112,4608,13,Loaded,NB,FAST,6.873606191
5192,4654,13,Loaded,NB,FAST,6.873606191
5199,4633,13,Loaded,NB,FAST,4.003235415
5112,4608,13,Loaded,NB,FAST,4.003235415
5311,4607,13,Loaded,NB,FAST,3.625393087
4952,4653,14,Loaded,NB,FAST,2.22265914
5141,4425,14,Loaded,NB,FAST,2.22265914
5311,4590,14,Loaded,NB,FAST,6.211080147
5297,4522,14,Loaded,NB,FAST,3.694171853
5003,4654,14,Loaded,NB,FAST,1.11132957
5085,4123,14,Loaded,NB,FAST,9.868716231
5311,4644,14,Loaded,NB,FAST,7.850115186
5297,4541,14,Loaded,NB,FAST,10.86555626
5306,4608,14,Loaded,NB,FAST,4.485780107
5297,4653,14,Loaded,NB,FAST,4.062393166
4830,4653,14,Loaded,NB,FAST,7.204434716
5117,4631,14,Loaded,NB,FAST,7.850115186
5299,4608,14,Loaded,NB,FAST,7.850115186
5297,4653,17,Loaded,NB,FAST,3.228795184
4830,4643,15,Loaded,NB,FAST,19.37735689
5311,4544,13,Loaded,NB,FAST,8.807117912
5311,4595,15,Loaded,NB,FAST,0.581320707
5297,4641,15,Loaded,NB,FAST,19.37735689
5312,4590,13,Loaded,NB,FAST,6.873606191
5311,4222,17,Loaded,NB,FAST,2.783605717
5297,4608,17,Loaded,NB,FAST,4.422840195
5306,4631,15,Loaded,NB,FAST,2.346447833
5306,4631,14,Loaded,NB,FAST,10.86555626
4961,4647,15,Loaded,NB,FAST,19.37735689
4878,4541,13,Loaded,NB,FAST,4.003235415
5311,4594,15,Loaded,NB,FAST,0.581320707
4878,933,15,Loaded,NB,FAST,2.214555073
5311,4597,15,Loaded,NB,FAST,2.124980141
5297,4641,16,Loaded,NB,FAST,1.432823969
4847,4597,16,Loaded,NB,FAST,1.297587968
5297,969,16,Loaded,NB,FAST,2.301202131
5311,4595,16,Loaded,NB,FAST,1.98391011
5297,4641,16,Loaded,NB,FAST,0.709949934
4878,2010,16,Loaded,NB,FAST,1.17997268
5297,4641,16,Loaded,NB,FAST,1.17997268
5311,4544,16,Loaded,NB,FAST,1.297587968
5297,4653,16,Loaded,NB,FAST,3.15221273
5211,4627,16,Loaded,NB,FAST,3.15221273
5311,4644,16,Loaded,NB,FAST,11.8324989
5112,4608,16,Loaded,NB,FAST,3.470618056
5297,4608,16,Loaded,NB,FAST,0
5311,4595,16,Loaded,NB,FAST,1.432823969
5311,4607,16,Loaded,NB,FAST,1.98391011
5286,4652,16,Loaded,NB,FAST,3.15221273
5118,3971,16,Loaded,NB,FAST,1.432823969
5297,4590,16,Loaded,NB,FAST,0.354974966
5094,4644,16,Loaded,NB,FAST,3.15221273
5199,4653,16,Loaded,NB,FAST,3.470618056
5311,4608,16,Loaded,NB,FAST,1.17997268
5297,2452,16,Loaded,NB,FAST,2.301202131
5297,4590,17,Loaded,NB,FAST,1.897379259
5306,4631,17,Loaded,NB,FAST,3.228795184
5306,4631,17,Loaded,NB,FAST,4.422840195
5297,4654,17,Loaded,NB,FAST,4.869591731
5306,4608,17,Loaded,NB,FAST,0
5212,4653,17,Loaded,NB,FAST,0
5297,4590,17,Loaded,NB,FAST,1.820633541
5311,4627,17,Loaded,NB,FAST,1.65560863
5308,1714,17,Loaded,NB,FAST,2.783605717
5183,4641,17,Loaded,NB,FAST,3.518168337
5312,4197,17,Loaded,NB,FAST,4.422840195
5306,4643,17,Loaded,NB,FAST,2.783605717
5311,4013,17,Loaded,NB,FAST,2.783605717
5297,4607,17,Loaded,NB,FAST,3.518168337
5297,4654,17,Loaded,NB,FAST,1.65560863
5311,4590,17,Loaded,NB,FAST,1.65560863
5141,4607,18,Loaded,NB,FAST,1.791115697
5311,4608,18,Loaded,NB,FAST,0.470167871
5311,4643,18,Loaded,NB,FAST,1.897789582
5112,4653,18,Loaded,NB,FAST,1.897789582
5306,4629,18,Loaded,NB,FAST,3.321131768
5306,4597,18,Loaded,NB,FAST,1.897789582
5287,4607,18,Loaded,NB,FAST,1.897789582
5297,4653,18,Loaded,NB,FAST,4.596868098
5297,4623,18,Loaded,NB,FAST,1.562885538
5306,4608,18,Loaded,NB,FAST,4.596868098
5212,4608,18,Loaded,NB,FAST,3.321131768
5311,4653,18,Loaded,NB,FAST,1.562885538
5311,4644,18,Loaded,NB,FAST,1.897789582
5112,4608,18,Loaded,NB,FAST,0.470167871
5311,4627,18,Loaded,NB,FAST,4.596868098
5297,4608,19,Loaded,NB,FAST,2.680550041
4830,2253,19,Loaded,NB,FAST,2.840196169
4830,4608,19,Loaded,NB,FAST,6.248431573
5282,4611,19,Loaded,NB,FAST,1.407288772
4952,4588,19,Loaded,NB,FAST,3.096035298
5212,4653,19,Loaded,NB,FAST,3.096035298
5311,4595,19,Loaded,NB,FAST,2.260191058
5297,4641,19,Loaded,NB,FAST,1.274462892
5003,4608,19,Loaded,NB,FAST,1.948553684
4830,4653,19,Loaded,NB,FAST,0.697297499
5297,4653,19,Loaded,NB,FAST,1.948553684
5286,4633,19,Loaded,NB,FAST,2.260191058
5286,4590,19,Loaded,NB,FAST,1.948553684
5297,4627,19,Loaded,NB,FAST,3.096035298
5297,4641,19,Loaded,NB,FAST,1.948553684
5306,4631,20,Loaded,NB,FAST,5.909453485
5282,4611,20,Loaded,NB,FAST,10.3415436
5297,4608,20,Loaded,NB,FAST,5.124131333
5211,4627,20,Loaded,NB,FAST,4.702665986
5112,4540,20,Loaded,NB,FAST,5.124131333
5312,4653,20,Loaded,NB,FAST,5.124131333
5297,4653,20,Loaded,NB,FAST,7.09244845
5311,4623,20,Loaded,NB,FAST,4.702665986
5311,4607,20,Loaded,NB,FAST,2.411355922
4830,4312,21,Loaded,NB,FAST,6.050227407
5112,4608,18,Loaded,NB,FAST,15.67226235
4608,5297,9,Empty,SB,GP,20.62429195
4653,5199,7,Empty,SB,GP,20.62429195
4540,5094,17,Empty,SB,GP,20.62429195
4650,5306,7,Empty,SB,GP,20.62429195
4653,5297,9,Empty,SB,GP,20.62429195
4644,5297,20,Empty,SB,GP,20.62429195
4644,5297,10,Empty,SB,GP,20.62429195
4659,4830,10,Empty,SB,GP,20.62429195
4627,5297,20,Empty,SB,GP,20.62429195
4652,5064,10,Empty,SB,GP,20.62429195
4644,5211,18,Empty,SB,GP,20.62429195
4644,5110,10,Empty,SB,GP,20.62429195
4627,4706,11,Empty,SB,GP,20.62429195
4653,5297,8,Empty,SB,GP,20.62429195
4608,5311,7,Empty,SB,GP,20.62429195
4627,5312,14,Empty,SB,GP,20.62429195
4633,5297,11,Empty,SB,GP,20.62429195
4624,5297,8,Empty,SB,GP,20.62429195
4653,4830,11,Empty,SB,GP,20.62429195
4652,5223,12,Empty,SB,GP,20.62429195
4608,5113,12,Empty,SB,GP,20.62429195
4608,5297,12,Empty,SB,GP,20.62429195
4608,5297,19,Empty,SB,GP,20.62429195
4608,4830,12,Empty,SB,GP,20.62429195
4624,5223,19,Empty,SB,GP,20.62429195
4608,5306,13,Empty,SB,GP,20.62429195
4653,5297,13,Empty,SB,GP,20.62429195
4643,5223,13,Empty,SB,GP,20.62429195
4595,5311,13,Empty,SB,GP,20.62429195
4597,5298,13,Empty,SB,GP,20.62429195
4540,5286,13,Empty,SB,GP,20.62429195
4641,5141,13,Empty,SB,GP,20.62429195
4653,5299,14,Empty,SB,GP,20.62429195
4624,5223,14,Empty,SB,GP,20.62429195
4590,5297,14,Empty,SB,GP,20.62429195
4608,5297,14,Empty,SB,GP,20.62429195
4626,5211,14,Empty,SB,GP,20.62429195
4607,5064,14,Empty,SB,GP,20.62429195
4653,5286,14,Empty,SB,GP,20.62429195
4644,4740,15,Empty,SB,GP,20.62429195
4607,5297,15,Empty,SB,GP,20.62429195
4653,5297,15,Empty,SB,GP,20.62429195
4531,5297,15,Empty,SB,GP,20.62429195
4643,5306,15,Empty,SB,GP,20.62429195
4631,5304,15,Empty,SB,GP,20.62429195
4631,5306,16,Empty,SB,GP,20.62429195
4633,5297,16,Empty,SB,GP,20.62429195
4643,5223,21,Empty,SB,GP,20.62429195
4644,5297,16,Empty,SB,GP,20.62429195
4644,5110,16,Empty,SB,GP,20.62429195
4633,5297,16,Empty,SB,GP,20.62429195
4608,5297,17,Empty,SB,GP,20.62429195
4644,5211,17,Empty,SB,GP,20.62429195
4624,5223,17,Empty,SB,GP,20.62429195
4653,5199,17,Empty,SB,GP,20.62429195
4608,5306,17,Empty,SB,GP,20.62429195
4627,4706,17,Empty,SB,GP,20.62429195
4597,5298,18,Empty,SB,GP,20.62429195
4644,5297,18,Empty,SB,GP,20.62429195
4643,5223,18,Empty,SB,GP,20.62429195
4644,5297,19,Empty,SB,GP,20.62429195
4644,5110,19,Empty,SB,GP,20.62429195
4633,5297,19,Empty,SB,GP,20.62429195
4608,5297,19,Empty,SB,GP,20.62429195
4644,5211,19,Empty,SB,GP,20.62429195
4624,5223,20,Empty,SB,GP,20.62429195
4653,5199,20,Empty,SB,GP,20.62429195
